ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,Bemerkung,GGF_m2,BUF_m2,UUF_m2,Sealed_m2,GreenSpace_m2,Abbau_Deponie_m2,Acker_Wiese_Weide_m2,Bahn_m2,Fels_m2,Gartenanlage_m2,Gebaeude_m2,Geroell_Sand_m2,Gewaesser_fliessendes_m2,Gewaesser_stehendes_m2,Gletscher_Firn_m2,Hoch_Flachmoor_m2,Reben_m2,Strasse_Weg_m2,Trottoir_m2,Verkehrsinsel_m2,Wasserbecken_m2,Wytweide_dicht_m2,Wytweide_offen_m2,geschlossener_Wald_m2,uebrige_Intensivkultur_m2,uebrige_befestigte_m2,uebrige_bestockte_m2,uebrige_humusierte_m2,uebrige_vegetationslose_m2
TEST-00003,CH786446358481,116,408.0,EGRID found in AV,488.0,487.7911669985887,,107.74048099795628,380.04981058010213,0.0,119.82622925608808,367.96406232197035,0.0,0.004691348035095189,0.0,0.0,367.9593709739352,107.74048099795628,0.0,0.0,0.0,0.0,0.0,0.0,12.085748258131805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00998,CH938477327901,305,59.0,EGRID found in AV,144.0,144.34634449870853,,75.1445955012716,69.20174899745501,0.0,80.58082324450518,63.76552125422142,0.0,0.0,0.0,0.0,63.76552125422142,75.1445955012716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.436227743233588,0.0,0.0,0.0
TEST-00329,CH571277730262,613,3396.0,EGRID found in AV,1734.0,1734.0805015017677,,0.0,1728.231033720347,5.84940350805305,0.0,1734.0804372284001,0.0,1728.231033720347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84940350805305,0.0,0.0,0.0,0.0,0.0
TEST-00151,CH867798857129,UH3255,292.0,EGRID found in AV,36.0,36.0126870023661,,0.0,36.0126870023661,0.0,35.99098199932495,0.02170500304114853,0.0,0.0,0.0,0.0,0.02170500304114853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.99098199932495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00557,CH864546351416,833,951.0,EGRID found in AV,4132.0,4132.398307506441,,343.7685875009462,3788.629720005657,0.0,656.2786908753969,3476.119616631206,0.0,2472.5587786282313,0.0,0.0,1003.5608380029748,343.7685875009462,0.0,0.0,0.0,0.0,0.0,0.0,312.5101033744508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00787,CH495577813574,13499,113.0,EGRID found in AV,680.0,680.3470120033911,,0.0,72.41678350663871,607.9302284961241,9.13811285302618,63.27867065361253,0.0,60.100166004683906,0.0,0.0,3.178504648928625,0.0,0.0,607.9302284961241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13811285302618,0.0,0.0,0.0
TEST-00509,CH683164367772,4329,792.0,EGRID found in AV,224.0,223.5192075010112,,81.8414834796634,141.6777240214415,0.0,81.8414834796634,141.6777240214415,0.0,0.0,0.0,0.0,141.6777240214415,81.8414834796634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00405,CH115976277769,1222,114.0,EGRID found in AV,16017.0,16017.094111003742,,0.0,15226.314542615824,790.7795683855763,0.0,16017.094111001401,0.0,15226.314542615824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.7795683855763,0.0,0.0,0.0,0.0,0.0
TEST-00291,CH913546462432,5910,584.0,EGRID found in AV,271.0,271.17517249744253,,19.871220500614783,251.3039519968278,0.0,19.871220500614783,251.3039519968278,0.0,251.3039519968278,0.0,0.0,0.0,19.871220500614783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00214,CH886932067537,314,2428.0,EGRID found in AV,8371.0,8371.016872497808,,0.0,0.0,8371.016872497807,0.0,8371.016872497807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8371.016872497807,0.0,0.0,0.0,0.0,0.0
TEST-00996,CH335219305668,1279,6141.0,EGRID found in AV,743.0,743.422359998058,,0.0,743.4223599980581,0.0,0.0,743.4223599980581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.4223599980581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00393,CH372679092302,492,3983.0,EGRID found in AV,177.0,177.0355570015962,,52.337202999623,124.6983540019732,0.0,52.337202999623,124.6983540019732,0.0,124.6983540019732,0.0,0.0,0.0,52.337202999623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00975,CH475052920525,,,EGRID missing or not in AV,,0.0,Nicht existierende EGRID (Testfall),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00954,CH491091949495,2580,2053.0,EGRID found in AV,483.0,483.13919050434936,,0.0,483.13919050486555,0.0,53.7433112332783,429.39587927158726,0.0,399.3596443022045,0.0,0.0,30.036234969382743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.74129476314084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020164701374527313,0.0,0.0,0.0
TEST-00067,CH527787660201,1093,3442.0,EGRID found in AV,392.0,392.2796265031039,,71.1930598118603,321.0865121569694,0.0,71.1930598118603,321.0865121569694,0.0,0.0,0.0,0.0,321.0865121569694,71.1930598118603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00229,CH180249227738,3073,3603.0,EGRID found in AV,1768.0,1767.5189664953823,,0.0,1767.5189664953823,0.0,0.0,1767.5189664953823,0.0,1767.5189664953823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
