ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,Bemerkung
TEST-00406,CH640447776404,4423,3619.0,EGRID in AV gefunden,787.0,787.3717509988746,
TEST-00819,CH273777815195,1304,3352.0,EGRID in AV gefunden,1632.0,1631.9474184978244,
TEST-00342,CH630280070712,2034,5003.0,EGRID in AV gefunden,2304.0,2303.98585998937,
TEST-00262,CH629116109413,7430,2275.0,EGRID in AV gefunden,2176.0,2175.531687005765,
TEST-00923,CH393378522712,1598,3733.0,EGRID in AV gefunden,756.0,755.6180459937043,
TEST-00821,CH587356328320,616,4235.0,EGRID in AV gefunden,1714.0,1713.9558244968705,
TEST-00430,CH289952301317,14723,6248.0,EGRID in AV gefunden,19.0,19.44341900064831,
TEST-00157,CH795214763058,1143,6009.0,EGRID in AV gefunden,3598.0,3598.1155110110567,
TEST-00881,CH838077298450,50806,4566.0,EGRID in AV gefunden,1144.0,1144.3443339959865,
TEST-00536,CH140217778490,1540,97.0,EGRID in AV gefunden,778.0,778.0327649987901,
TEST-00707,CH667717883775,132,3781.0,EGRID in AV gefunden,4367.0,4366.613978488591,
TEST-00040,CH351502800784,735,5050.0,EGRID in AV gefunden,1386.0,1382.5028120104555,
TEST-00414,CH467722990696,515,4721.0,EGRID in AV gefunden,2023.0,2023.0509119955996,
TEST-00685,CH443546496209,2463,726.0,EGRID in AV gefunden,3948.0,3948.424978494966,
TEST-00709,CH707713736793,825,3408.0,EGRID in AV gefunden,1250.0,1250.1850630013614,
TEST-00197,CH831083943096,275b,2163.0,EGRID in AV gefunden,11358.0,11999.543942498325,
TEST-00756,CH927703660635,4292,4946.0,EGRID in AV gefunden,1497.0,1496.8217320064155,
TEST-00004,CH187283951216,1629,4049.0,EGRID in AV gefunden,930.0,930.2615340057896,
TEST-00246,CH587189007278,4296,3945.0,EGRID in AV gefunden,95.0,94.49752600031773,
TEST-00550,CH421174463521,949,746.0,EGRID in AV gefunden,1688.0,1687.7236549958698,
TEST-00458,CH629166109448,1719,2138.0,EGRID in AV gefunden,33.0,16.690164500852774,
TEST-00510,CH889232067892,1484,2523.0,EGRID in AV gefunden,3589.0,3588.650954985587,
TEST-00300,CH376877228645,6869,3901.0,EGRID in AV gefunden,2351.0,2351.480903485215,
TEST-00118,CH169945067097,13,4285.0,EGRID in AV gefunden,4771.0,4770.998461508188,
TEST-00916,CH927342463517,153,619.0,EGRID in AV gefunden,10842.0,10841.846877513639,
TEST-00250,CH663746355664,2012,853.0,EGRID in AV gefunden,858.0,858.4559389930405,
TEST-00039,CH808263276502,19,6612.0,EGRID in AV gefunden,2616.0,2615.6150320168354,
TEST-00696,CH183552301630,2165,6290.0,EGRID in AV gefunden,62.0,61.83784349484681,
TEST-00003,CH786446358481,116,408.0,EGRID in AV gefunden,488.0,487.7911669985887,
TEST-00998,CH938477327901,305,59.0,EGRID in AV gefunden,144.0,144.34634449870853,
TEST-00329,CH571277730262,613,3396.0,EGRID in AV gefunden,1734.0,1734.0805015017677,
TEST-00151,CH867798857129,UH3255,292.0,EGRID in AV gefunden,36.0,36.0126870023661,
TEST-00557,CH864546351416,833,951.0,EGRID in AV gefunden,4132.0,4132.398307506441,
TEST-00787,CH495577813574,13499,113.0,EGRID in AV gefunden,680.0,680.3470120033911,
TEST-00509,CH683164367772,4329,792.0,EGRID in AV gefunden,224.0,223.5192075010112,
TEST-00405,CH115976277769,1222,114.0,EGRID in AV gefunden,16017.0,16017.094111003742,
TEST-00291,CH913546462432,5910,584.0,EGRID in AV gefunden,271.0,271.17517249744253,
TEST-00214,CH886932067537,314,2428.0,EGRID in AV gefunden,8371.0,8371.016872497808,
TEST-00996,CH335219305668,1279,6141.0,EGRID in AV gefunden,743.0,743.422359998058,
TEST-00393,CH372679092302,492,3983.0,EGRID in AV gefunden,177.0,177.0355570015962,
TEST-00975,CH475052920525,,,EGRID fehlt oder nicht in AV,,,Nicht existierende EGRID (Testfall)
TEST-00954,CH491091949495,2580,2053.0,EGRID in AV gefunden,483.0,483.13919050434936,
TEST-00067,CH527787660201,1093,3442.0,EGRID in AV gefunden,392.0,392.2796265031039,
TEST-00229,CH180249227738,3073,3603.0,EGRID in AV gefunden,1768.0,1767.5189664953823,
TEST-00178,CH728087741608,1187,4172.0,EGRID in AV gefunden,2777.0,2777.3708464724887,
TEST-00432,CH513568467021,1197,886.0,EGRID in AV gefunden,1737.0,1737.1174734964293,
TEST-00871,CH943555778836,13698,113.0,EGRID in AV gefunden,338.0,338.35564000027534,
TEST-00083,CH543546220219,3666,792.0,EGRID in AV gefunden,631.0,630.8192024967292,
TEST-00619,CH973525364634,2919,576.0,EGRID in AV gefunden,41.0,40.71527200034633,
TEST-00438,CH510381457785,1124,3251.0,EGRID in AV gefunden,264.0,263.9634280002253,
TEST-00472,CH119449108886,89,2115.0,EGRID in AV gefunden,5348.0,5259.485171485518,
TEST-00798,CH889165087810,80,2895.0,EGRID in AV gefunden,981.0,981.4136270037853,
TEST-00666,CH634676351133,50,351.0,EGRID in AV gefunden,326.0,325.8554555012014,
TEST-00999,CH157827776025,941,3764.0,EGRID in AV gefunden,487.0,486.6486045061555,
TEST-00474,CH197779746639,2920,,EGRID in AV gefunden,843.0,842.9258314975233,
TEST-00736,CH227839896783,3744,2701.0,EGRID in AV gefunden,169.0,169.3584649995967,
TEST-00530,CH435267304895,3089,6024.0,EGRID in AV gefunden,1071.0,1070.5329830032722,
